,Image,F1,Jaccard,Recall,Precision
0,833.png,0.9289617486338798,0.8673469387755102,0.897887323943662,0.9622641509433962
1,2069.png,0.8794726930320151,0.7848739495798319,0.9936170212765958,0.7888513513513513
2,3038.png,0.6882477128782547,0.5246781115879828,0.7616822429906542,0.6277278562259306
3,1169.png,0.9444444444444444,0.8947368421052632,0.8976293103448276,0.9964114832535885
4,501.png,0.9572901325478645,0.9180790960451978,0.9572901325478645,0.9572901325478645
5,31.png,0.962962962962963,0.9285714285714286,0.9326837909654562,0.995274102079395
6,2242.png,0.8895899053627759,0.8011363636363636,0.9513253012048193,0.8353787558188743
7,1014.png,0.9485179407176286,0.9020771513353115,0.9020771513353115,1.0
8,1322.png,0.9252077562326869,0.8608247422680413,0.8835978835978836,0.9709302325581395
9,1779.png,0.8972204266321913,0.813599062133646,0.910761154855643,0.8840764331210191
10,1217.png,0.9696000000000001,0.9409937888198758,0.9711538461538461,0.9680511182108626
11,1956.png,0.9293308317698562,0.8679906542056075,0.8679906542056075,1.0
12,108.png,0.9724154473494844,0.9463118580765639,0.9574870099196977,0.9878167641325536
13,1258.png,0.9645868465430016,0.9315960912052117,0.9727891156462585,0.9565217391304348
14,571.png,0.9684741488020175,0.9388753056234719,0.9552238805970149,0.9820971867007673
15,1888.png,0.0,0.0,0.0,0.0
16,35.png,0.9280000000000002,0.8656716417910447,0.943089430894309,0.9133858267716536
17,2162.png,0.867745004757374,0.7663865546218488,0.9681528662420382,0.7862068965517242
18,2582.png,0.9561567164179103,0.9159964253798034,0.9884281581485053,0.9259259259259259
19,1279.png,0.5301069217782779,0.36064318529862177,0.3617511520737327,0.991578947368421
20,749.png,0.8663081060315022,0.7641477465266011,0.8379784466740988,0.8966202783300199
21,2122.png,0.09295639674173456,0.04874371859296482,0.06043613707165109,0.2012448132780083
22,2928.png,0.9116651277316097,0.8376696832579186,0.9367488931056294,0.8878896882494005
23,74.png,0.9789610873207968,0.9587892049598833,0.9813363195222098,0.9765973254086181
24,788.png,0.8736395009291213,0.7756304501531935,0.7793038124556003,0.9939595288432498
25,707.png,0.9757412398921833,0.9526315789473684,0.9705093833780161,0.981029810298103
26,1678.png,0.9549019607843137,0.9136960600375235,0.960552268244576,0.949317738791423
27,909.png,0.8898592916060165,0.8015734265734266,0.804915514592934,0.9948467588825604
28,218.png,0.8545288197621226,0.7460063897763578,0.9810924369747899,0.7568881685575365
29,2046.png,0.918859649122807,0.8498985801217038,0.9017216642754663,0.936661698956781
30,3.png,0.9668300037693177,0.935789857716162,0.9671945701357466,0.96646571213263
31,1270.png,0.653061224489796,0.48484848484848486,0.7547169811320755,0.5755395683453237
32,573.png,0.9418181818181818,0.8900343642611683,0.9676214196762142,0.9173553719008265
33,861.png,0.1729482212046495,0.09465972623867361,0.09465972623867361,1.0
34,2463.png,0.2878727634194831,0.1681374825824431,0.9917808219178083,0.16837209302325581
35,1326.png,0.873972602739726,0.7761557177615572,0.7837837837837838,0.9876160990712074
36,528.png,0.9383770591824283,0.8839080459770114,0.9961139896373057,0.8869665513264129
